phi,I
0,0
0.031415927,6.18537E-10
0.062831853,1.23688E-09
0.09424778,1.85482E-09
0.125663706,2.47216E-09
0.157079633,3.08872E-09
0.188495559,3.70428E-09
0.219911486,4.31864E-09
0.251327412,4.93162E-09
0.282743339,5.543E-09
0.314159265,6.15258E-09
0.345575192,6.76018E-09
0.376991118,7.36558E-09
0.408407045,7.96858E-09
0.439822972,8.56897E-09
0.471238898,9.16656E-09
0.502654825,9.76114E-09
0.534070751,1.03525E-08
0.565486678,1.09404E-08
0.596902604,1.15247E-08
0.628318531,1.21052E-08
0.659734457,1.26816E-08
0.691150384,1.32537E-08
0.72256631,1.38213E-08
0.753982237,1.43842E-08
0.785398163,1.49422E-08
0.81681409,1.5495E-08
0.848230016,1.60425E-08
0.879645943,1.65843E-08
0.91106187,1.71203E-08
0.942477796,1.76502E-08
0.973893723,1.81738E-08
1.005309649,1.86908E-08
1.036725576,1.9201E-08
1.068141502,1.97041E-08
1.099557429,2.01999E-08
1.130973355,2.06881E-08
1.162389282,2.11683E-08
1.193805208,2.16404E-08
1.225221135,2.2104E-08
1.256637061,2.25589E-08
1.288052988,2.30047E-08
1.319468915,2.3441E-08
1.350884841,2.38676E-08
1.382300768,2.42842E-08
1.413716694,2.46902E-08
1.445132621,2.50854E-08
1.476548547,2.54694E-08
1.507964474,2.58417E-08
1.5393804,2.62019E-08
1.570796327,2.65496E-08
1.602212253,2.68842E-08
1.63362818,2.72052E-08
1.665044106,2.75122E-08
1.696460033,2.78044E-08
1.727875959,2.80813E-08
1.759291886,2.83423E-08
1.790707813,2.85866E-08
1.822123739,2.88134E-08
1.853539666,2.9022E-08
1.884955592,2.92116E-08
1.916371519,2.93811E-08
1.947787445,2.95296E-08
1.979203372,2.9656E-08
2.010619298,2.97592E-08
2.042035225,2.98379E-08
2.073451151,2.98907E-08
2.104867078,2.99162E-08
2.136283004,2.99128E-08
2.167698931,2.98788E-08
2.199114858,2.98124E-08
2.230530784,2.97115E-08
2.261946711,2.9574E-08
2.293362637,2.93976E-08
2.324778564,2.91798E-08
2.35619449,2.89178E-08
2.387610417,2.86089E-08
2.419026343,2.82499E-08
2.45044227,2.78376E-08
2.481858196,2.73686E-08
2.513274123,2.68391E-08
2.544690049,2.62456E-08
