phi,I
0,0
0.031415927,3.14108E-09
0.062831853,6.27905E-09
0.09424778,9.41083E-09
0.125663706,1.25333E-08
0.157079633,1.56434E-08
0.188495559,1.87381E-08
0.219911486,2.18143E-08
0.251327412,2.4869E-08
0.282743339,2.78991E-08
0.314159265,3.09017E-08
0.345575192,3.38738E-08
0.376991118,3.68125E-08
0.408407045,3.97148E-08
0.439822972,4.25779E-08
0.471238898,4.5399E-08
0.502654825,4.81754E-08
0.534070751,5.09041E-08
0.565486678,5.35827E-08
0.596902604,5.62083E-08
0.628318531,5.87785E-08
0.659734457,6.12907E-08
0.691150384,6.37424E-08
0.72256631,6.61312E-08
0.753982237,6.84547E-08
0.785398163,7.07107E-08
0.81681409,7.28969E-08
0.848230016,7.50111E-08
0.879645943,7.70513E-08
0.91106187,7.90155E-08
0.942477796,8.09017E-08
0.973893723,8.27081E-08
1.005309649,8.44328E-08
1.036725576,8.60742E-08
1.068141502,8.76307E-08
1.099557429,8.91007E-08
1.130973355,9.04827E-08
1.162389282,9.17755E-08
1.193805208,9.29776E-08
1.225221135,9.40881E-08
1.256637061,9.51057E-08
1.288052988,9.60294E-08
1.319468915,9.68583E-08
1.350884841,9.75917E-08
1.382300768,9.82287E-08
1.413716694,9.87688E-08
1.445132621,9.92115E-08
1.476548547,9.95562E-08
1.507964474,9.98027E-08
1.5393804,9.99507E-08
1.570796327,0.0000001
1.602212253,9.99507E-08
1.63362818,9.98027E-08
1.665044106,9.95562E-08
1.696460033,9.92115E-08
1.727875959,9.87688E-08
1.759291886,9.82287E-08
1.790707813,9.75917E-08
1.822123739,9.68583E-08
1.853539666,9.60294E-08
1.884955592,9.51057E-08
1.916371519,9.40881E-08
1.947787445,9.29776E-08
1.979203372,9.17755E-08
2.010619298,9.04827E-08
2.042035225,8.91007E-08
2.073451151,8.76307E-08
2.104867078,8.60742E-08
2.136283004,8.44328E-08
2.167698931,8.27081E-08
2.199114858,8.09017E-08
2.230530784,7.90155E-08
2.261946711,7.70513E-08
2.293362637,7.50111E-08
2.324778564,7.28969E-08
2.35619449,7.07107E-08
2.387610417,6.84547E-08
2.419026343,6.61312E-08
2.45044227,6.37424E-08
2.481858196,6.12907E-08
2.513274123,5.87785E-08
2.544690049,5.62083E-08
2.576105976,5.35827E-08
2.607521902,5.09041E-08
2.638937829,4.81754E-08
2.670353756,4.5399E-08
2.701769682,4.25779E-08
2.733185609,3.97148E-08
2.764601535,3.68125E-08
2.796017462,3.38738E-08
2.827433388,3.09017E-08
2.858849315,2.78991E-08
2.890265241,2.4869E-08
2.921681168,2.18143E-08
2.953097094,1.87381E-08
2.984513021,1.56434E-08
3.015928947,1.25333E-08
3.047344874,9.41083E-09
3.078760801,6.27905E-09
3.110176727,3.14108E-09
3.141592654,-3.21625E-23
3.17300858,-3.14108E-09
3.204424507,-6.27905E-09
3.235840433,-9.41083E-09
3.26725636,-1.25333E-08
3.298672286,-1.56434E-08
3.330088213,-1.87381E-08
3.361504139,-2.18143E-08
3.392920066,-2.4869E-08
3.424335992,-2.78991E-08
3.455751919,-3.09017E-08
3.487167845,-3.38738E-08
3.518583772,-3.68125E-08
3.549999699,-3.97148E-08
3.581415625,-4.25779E-08
3.612831552,-4.5399E-08
3.644247478,-4.81754E-08
3.675663405,-5.09041E-08
3.707079331,-5.35827E-08
3.738495258,-5.62083E-08
3.769911184,-5.87785E-08
3.801327111,-6.12907E-08
3.832743037,-6.37424E-08
3.864158964,-6.61312E-08
3.89557489,-6.84547E-08
3.926990817,-7.07107E-08
3.958406744,-7.28969E-08
3.98982267,-7.50111E-08
4.021238597,-7.70513E-08
4.052654523,-7.90155E-08
4.08407045,-8.09017E-08
4.115486376,-8.27081E-08
4.146902303,-8.44328E-08
4.178318229,-8.60742E-08
4.209734156,-8.76307E-08
4.241150082,-8.91007E-08
4.272566009,-9.04827E-08
4.303981935,-9.17755E-08
4.335397862,-9.29776E-08
4.366813788,-9.40881E-08
4.398229715,-9.51057E-08
4.429645642,-9.60294E-08
4.461061568,-9.68583E-08
4.492477495,-9.75917E-08
4.523893421,-9.82287E-08
4.555309348,-9.87688E-08
4.586725274,-9.92115E-08
4.618141201,-9.95562E-08
4.649557127,-9.98027E-08
4.680973054,-9.99507E-08
4.71238898,-0.0000001
4.743804907,-9.99507E-08
4.775220833,-9.98027E-08
4.80663676,-9.95562E-08
4.838052687,-9.92115E-08
4.869468613,-9.87688E-08
4.90088454,-9.82287E-08
4.932300466,-9.75917E-08
4.963716393,-9.68583E-08
4.995132319,-9.60294E-08
5.026548246,-9.51057E-08
5.057964172,-9.40881E-08
5.089380099,-9.29776E-08
5.120796025,-9.17755E-08
